LastUpdated,Postal_Code,City,NO2,O3,PM10,PM2.5,Latitude,Longitude,Country.Label,Department,Region,Altitude Moyenne,Superficie,p16_pop,p17_pop,p18_pop,p19_pop,p20_pop,p21_pop,p24_pop
2024-01-29 18:00:00,13800,Istres,,66.5,,,43.5094524142014,4.98277521795416,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,34.0,11442.0,42925.0,43133,43411.0,43626.0,44438.0,44577.0,43626.0
2024-09-18 23:00:00,13800,Istres,,65.6,,,43.5061499999714,4.98289799968719,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,34.0,11442.0,42925.0,43133,43411.0,43626.0,44438.0,44577.0,43626.0
2024-01-29 17:00:00,13821,La Penne-sur-Huveaune,,89.5,,,43.2831503020971,5.51208953281591,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,144.0,364.0,6433.0,6436,6446.0,6519.0,6521.0,6569.0,6519.0
2024-09-17 23:00:00,13821,La Penne-sur-Huveaune,,46.4,,,43.2833399997746,5.51138399958502,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,144.0,364.0,6433.0,6436,6446.0,6519.0,6521.0,6569.0,6519.0
2024-01-29 18:00:00,13960,Sausset-les-Pins,,91.2,,,43.3313927085815,5.11777403885164,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,70.0,1229.0,7608.0,7568,7640.0,7581.0,7570.0,7563.0,7581.0
2024-09-18 23:00:00,13960,Sausset-les-Pins,,75.9,,,43.3312450001573,5.11769600040628,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,70.0,1229.0,7608.0,7568,7640.0,7581.0,7570.0,7563.0,7581.0
2023-01-11 08:00:00,14000,Caen,22.5,60.0,22.2,27.4,49.1752491940393,-0.35361103181024,France,Calvados,Normandie,34.0,2573.0,105403.0,105354,105512.0,106230.0,107250.0,108200.0,106230.0
2024-09-18 23:00:00,14000,Caen,17.3,60.0,43.9,27.4,49.1922200000328,-0.391111000326555,France,Calvados,Normandie,34.0,2573.0,105403.0,105354,105512.0,106230.0,107250.0,108200.0,106230.0
2024-06-12 11:00:00,14100,Lisieux,4.9,12.8,7.2,3.9,49.1472239999556,0.227221999667361,France,Calvados,Normandie,91.0,1298.0,20301.0,20318,20171.0,20038.0,19755.0,19807.0,1338.0
2024-09-16 08:00:00,14120,Mondeville,31.1,,12.4,,49.1798319998666,-0.329750000098078,France,Calvados,Normandie,17.0,908.0,9811.0,9868,9893.0,9973.0,10054.0,10075.0,9973.0
2024-09-18 23:00:00,14123,Ifs,22.3,57.1,5.8,,49.1516700001407,-0.352777999792764,France,Calvados,Normandie,40.0,908.0,11768.0,11766,11567.0,11696.0,11902.0,11981.0,4957.0
