Nom de la région,Code département,Nom de la commune,population_2016,Code INSEE
Nouvelle-Aquitaine,86,Saint-Savin,877.0,86246.0
Bourgogne-Franche-Comté,89,Gland,40.0,89191.0
Bourgogne-Franche-Comté,89,Thory,210.0,89415.0
Bretagne,56,Les Fougerêts,970.0,56060.0
Hauts-de-France,59,Waziers,7528.0,59654.0
Hauts-de-France,60,Fresnoy-le-Luat,522.0,60261.0
Hauts-de-France,62,Auxi-le-Château,2726.0,62060.0
Auvergne-Rhône-Alpes,63,Aulhat-Flat,939.0,63160.0
Nouvelle-Aquitaine,64,Borce,139.0,64136.0
Occitanie,65,Tournay,1285.0,65447.0
Grand Est,67,Ernolsheim-lès-Saverne,595.0,67129.0
Bourgogne-Franche-Comté,70,Trémoins,393.0,70506.0
Bourgogne-Franche-Comté,71,Iguerande,1021.0,71238.0
Pays de la Loire,72,Ardenay-sur-Mérize,484.0,72007.0
Auvergne-Rhône-Alpes,74,Évian-les-Bains,9328.0,74119.0
Normandie,76,Arques-la-Bataille,2633.0,76026.0
Provence-Alpes-Côte d'Azur,05,Serres,1325.0,5166.0
Auvergne-Rhône-Alpes,07,Chazeaux,137.0,7062.0
Occitanie,09,L' Aiguillon,434.0,9003.0
Grand Est,10,Prusy,97.0,10309.0
Bourgogne-Franche-Comté,21,Tellecey,144.0,21624.0
Nouvelle-Aquitaine,24,Saint Aulaye-Puymangou,1459.0,24376.0
Centre-Val de Loire,28,Margon,1209.0,28236.0
Bretagne,29,Kerlouan,2205.0,29091.0
Occitanie,31,Plaisance-du-Touch,18581.0,31424.0
Occitanie,32,Sérempuy,34.0,32431.0
Nouvelle-Aquitaine,33,Saint-Macaire,2221.0,33435.0
Bourgogne-Franche-Comté,39,Lac-des-Rouges-Truites,413.0,39271.0
Occitanie,46,Labastide-du-Haut-Mont,49.0,46135.0
Occitanie,46,Léobard,221.0,46169.0
Nouvelle-Aquitaine,47,Villebramar,104.0,47319.0
Grand Est,52,Narcy,256.0,52347.0
Grand Est,54,Avrainville,231.0,54034.0
Normandie,27,Gournay-le-Guérin,143.0,27291.0
Occitanie,30,Saint-Jean-de-Valériscle,690.0,30268.0
Occitanie,31,Villematier,1059.0,31583.0
Nouvelle-Aquitaine,33,Saint-André-et-Appelles,711.0,33369.0
Centre-Val de Loire,37,Le Grand-Pressigny,955.0,37113.0
Bourgogne-Franche-Comté,39,Aumont,468.0,39028.0
Pays de la Loire,44,La Montagne,6372.0,44101.0
Normandie,50,La Lucerne-d'Outremer,829.0,50281.0
Grand Est,51,Saint-Thierry,659.0,51518.0
Grand Est,54,Saint-Ail,447.0,54469.0
Occitanie,81,Castelnau-de-Montmiral,1062.0,81064.0
Hauts-de-France,62,Bouquehault,759.0,62161.0
Occitanie,31,Molas,171.0,31347.0
